School_Name,Moe_Programme_Desc
National Junior College,Art Elective Programme
Temasek Junior College,Language Elective Programme (Chinese)
Temasek Junior College,Music Elective Programme
Victoria Junior College,Drama Elective Programme
Yishun Innova Junior College,Language Elective Programme (Malay)
Tampines Meridian Junior College,Drama Elective Programme
Tampines Meridian Junior College,Language Elective Programme (Malay)
Jurong Pioneer Junior College,Language Elective Programme (Chinese)
Jurong Pioneer Junior College,Language Elective Programme (Malay)
Catholic Junior College,Language Elective Programme (English)
Anglo-Chinese Junior College,Drama Elective Programme
Anglo-Chinese Junior College,Language Elective Programme (English)
Anglo-Chinese Junior College,Music Elective Programme
Nanyang Junior College,Art Elective Programme
Nanyang Junior College,Language Elective Programme (Chinese)
Hwa Chong Institution,Art Elective Programme
Hwa Chong Institution,Language Elective Programme (Chinese)
Crescent Girls' School,Music Elective Programme
Raffles Girls' School (Secondary),Music Elective Programme
Raffles Institution,Language Elective Programme (English)
Raffles Institution,Music Elective Programme
Tanjong Katong Girls' School,Music Elective Programme
Victoria School,Art Elective Programme
Dunman High School,Language Elective Programme (Chinese)
Dunman High School,Music Elective Programme
Bukit Panjang Govt. High School,Art Elective Programme
Zhonghua Secondary School,Art Elective Programme
Anglo-Chinese School (Independent),Music Elective Programme
Chij Secondary (Toa Payoh),Art Elective Programme
Methodist Girls' School (Secondary),Music Elective Programme
Catholic High School,Music Elective Programme
Nanyang Girls' High School,Art Elective Programme
Chij St. Nicholas Girls' School,Music Elective Programme
